id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
29223,Male,Loyal Customer,44,Business travel,Business,434,4,5,5,5,3,3,4,4,4,4,4,4,4,2,9,2,neutral or dissatisfied
62878,Female,Loyal Customer,45,Personal Travel,Eco,2218,4,2,5,3,3,3,2,3,3,5,3,4,3,3,28,20,neutral or dissatisfied
43880,Male,Loyal Customer,39,Business travel,Eco,144,4,2,2,2,4,4,4,4,2,1,2,3,1,4,0,0,satisfied
83497,Male,Loyal Customer,46,Business travel,Eco,546,4,2,2,2,4,4,4,5,2,2,2,4,5,4,266,262,satisfied
41151,Female,Loyal Customer,8,Personal Travel,Eco,140,4,0,4,1,1,4,1,1,5,3,5,5,5,1,0,6,neutral or dissatisfied
96673,Female,Loyal Customer,32,Personal Travel,Eco,1036,1,5,1,2,5,1,5,5,5,5,5,5,4,5,12,9,neutral or dissatisfied
115379,Female,Loyal Customer,56,Business travel,Business,480,2,2,2,2,5,5,5,1,1,2,1,5,1,3,0,0,satisfied
109962,Male,Loyal Customer,21,Personal Travel,Eco,1073,4,5,4,4,4,4,2,4,4,4,4,3,4,4,0,0,neutral or dissatisfied
91351,Female,Loyal Customer,58,Personal Travel,Eco Plus,545,4,3,4,1,4,3,5,1,1,4,1,4,1,1,0,40,neutral or dissatisfied
79320,Female,Loyal Customer,43,Business travel,Business,1698,2,2,2,2,3,4,5,4,4,4,4,4,4,5,0,0,satisfied
62999,Female,Loyal Customer,35,Business travel,Business,853,2,5,5,5,2,4,4,2,2,2,2,4,2,3,0,18,neutral or dissatisfied
103391,Male,Loyal Customer,40,Business travel,Business,3106,4,4,4,4,4,5,4,4,4,4,4,5,4,3,0,0,satisfied
42797,Female,Loyal Customer,34,Business travel,Business,2780,2,2,5,2,5,4,4,4,4,4,4,3,,5,0,0,satisfied
81618,Female,Loyal Customer,63,Personal Travel,Eco Plus,334,1,3,2,3,5,4,3,1,1,2,4,1,1,2,17,0,neutral or dissatisfied
48647,Female,Loyal Customer,41,Business travel,Business,2863,5,5,5,5,5,4,4,4,4,4,4,4,4,3,0,4,satisfied
17615,Female,Loyal Customer,57,Personal Travel,Business,622,4,4,3,3,4,4,4,1,1,3,3,3,1,4,0,0,neutral or dissatisfied
92035,Female,Loyal Customer,28,Business travel,Business,1535,3,3,5,3,4,,4,4,5,5,4,5,5,4,0,0,satisfied
68998,Female,Loyal Customer,70,Personal Travel,Eco,2422,4,4,4,3,4,4,4,5,2,4,4,4,4,4,40,36,neutral or dissatisfied
52274,Female,Loyal Customer,43,Business travel,Eco,370,2,2,2,2,1,3,3,3,3,2,3,2,3,4,10,15,neutral or dissatisfied
46798,Female,Loyal Customer,26,Personal Travel,Business,845,4,4,4,2,4,4,4,4,5,5,4,5,5,4,0,0,satisfied
35295,Male,Loyal Customer,45,Business travel,Eco,1102,4,3,4,3,4,4,4,4,5,1,1,4,5,4,3,4,satisfied
111273,Female,Loyal Customer,60,Business travel,Business,1817,2,2,4,2,4,4,4,2,2,2,2,3,2,5,6,2,satisfied
88249,Male,disloyal Customer,24,Business travel,Business,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,satisfied
6399,Male,Loyal Customer,43,Personal Travel,Eco,296,2,5,5,4,4,5,4,4,5,5,4,5,5,4,0,0,neutral or dissatisfied
94011,Female,Loyal Customer,49,Business travel,Business,3724,3,3,3,3,5,4,5,4,4,4,4,5,4,4,7,6,satisfied
11681,Female,disloyal Customer,25,Business travel,Business,395,4,0,4,4,2,4,2,2,5,5,5,3,5,2,4,0,satisfied
43126,Female,Loyal Customer,28,Business travel,Eco Plus,236,0,0,0,3,3,3,3,3,3,4,2,1,1,3,0,0,satisfied
99415,Male,Loyal Customer,41,Business travel,Business,1981,4,4,4,4,4,4,2,5,5,5,5,4,5,4,0,0,satisfied
6097,Female,Loyal Customer,11,Personal Travel,Eco Plus,630,3,5,3,5,4,3,4,4,4,2,5,5,4,4,0,0,neutral or dissatisfied
45339,Male,disloyal Customer,25,Business travel,Business,222,2,0,2,5,4,2,4,4,1,3,3,5,3,4,0,0,neutral or dissatisfied
72388,Male,Loyal Customer,42,Business travel,Business,985,3,3,3,3,4,4,4,3,3,3,3,5,3,4,11,0,satisfied
43246,Female,Loyal Customer,48,Personal Travel,Business,347,1,1,1,4,5,3,3,2,2,1,2,1,2,3,0,0,neutral or dissatisfied
11136,Female,Loyal Customer,53,Personal Travel,Eco,224,3,4,3,5,1,2,4,2,2,3,1,2,2,3,0,11,neutral or dissatisfied
1282,Female,Loyal Customer,11,Personal Travel,Eco,247,1,1,1,2,2,1,2,2,3,5,3,4,3,2,0,12,neutral or dissatisfied
120353,Male,Loyal Customer,32,Business travel,Business,413,5,5,3,5,4,4,4,4,4,2,5,5,5,4,0,15,satisfied
19770,Male,Loyal Customer,31,Business travel,Business,3863,2,3,3,3,2,2,2,2,2,1,3,1,4,2,110,104,neutral or dissatisfied
39738,Male,Loyal Customer,36,Personal Travel,Eco,320,3,5,1,3,3,1,3,3,5,5,2,2,5,3,0,9,neutral or dissatisfied
124113,Female,Loyal Customer,58,Business travel,Eco,529,3,3,2,3,3,4,3,3,3,3,3,2,3,1,73,83,neutral or dissatisfied
120988,Female,Loyal Customer,12,Business travel,Business,1502,1,1,2,1,4,4,4,4,4,2,4,5,5,4,0,0,satisfied
68263,Female,Loyal Customer,69,Personal Travel,Eco,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,neutral or dissatisfied
50278,Male,disloyal Customer,30,Business travel,Eco,110,3,3,3,3,4,3,4,4,3,4,3,2,3,4,0,0,neutral or dissatisfied
20558,Male,Loyal Customer,37,Business travel,Eco,606,3,5,5,5,3,3,3,3,3,1,2,3,3,3,0,0,neutral or dissatisfied
125433,Female,Loyal Customer,55,Personal Travel,Eco,735,3,2,2,1,1,1,2,1,1,2,1,4,1,4,19,17,neutral or dissatisfied
63872,Female,Loyal Customer,47,Business travel,Eco,1158,2,3,3,3,2,3,3,3,3,2,3,2,3,2,0,0,neutral or dissatisfied
87375,Male,Loyal Customer,39,Business travel,Business,3974,2,2,2,2,3,4,5,5,5,5,5,3,5,3,0,0,satisfied
25581,Female,Loyal Customer,23,Business travel,Eco,874,2,2,2,2,2,2,3,2,4,2,4,2,4,2,0,5,neutral or dissatisfied
87881,Male,Loyal Customer,13,Personal Travel,Eco Plus,214,2,3,2,3,1,2,1,1,3,4,4,5,4,1,32,18,neutral or dissatisfied
83826,Male,Loyal Customer,44,Business travel,Eco,425,2,5,3,5,2,2,2,2,4,5,3,3,3,2,0,0,neutral or dissatisfied
16139,Female,Loyal Customer,48,Business travel,Business,212,3,3,3,3,2,4,4,4,4,4,5,3,4,5,49,51,satisfied
76202,Male,Loyal Customer,54,Personal Travel,Eco,2422,4,4,4,3,4,4,4,4,4,3,4,4,5,4,0,0,satisfied
12521,Female,Loyal Customer,38,Business travel,Eco,788,5,5,5,5,5,5,5,5,5,5,3,2,1,5,66,92,satisfied
11537,Male,Loyal Customer,46,Business travel,Business,3088,5,5,5,5,4,4,5,5,5,5,5,3,5,4,59,58,satisfied
62038,Male,disloyal Customer,11,Business travel,Eco,1117,3,3,3,4,3,3,5,3,4,1,4,2,4,3,11,18,neutral or dissatisfied
110124,Female,Loyal Customer,60,Business travel,Business,1056,1,1,5,1,4,4,4,4,2,4,4,4,3,4,214,210,satisfied
120496,Male,disloyal Customer,32,Business travel,Eco Plus,449,3,3,3,4,4,3,4,4,3,5,3,3,4,4,0,4,neutral or dissatisfied
47090,Male,Loyal Customer,70,Personal Travel,Eco,602,1,5,1,1,2,1,2,2,5,2,4,4,4,,82,68,neutral or dissatisfied
66204,Male,Loyal Customer,78,Business travel,Business,2708,5,5,5,5,5,4,5,5,5,5,5,3,5,4,0,0,satisfied
6226,Male,disloyal Customer,26,Business travel,Business,594,5,5,5,2,3,5,3,3,3,4,5,5,5,3,0,0,satisfied
63462,Female,disloyal Customer,58,Business travel,Eco Plus,337,4,3,3,2,3,4,3,3,2,3,3,4,3,3,0,0,neutral or dissatisfied
104560,Male,Loyal Customer,62,Business travel,Business,369,2,2,2,2,2,4,5,4,4,5,4,5,4,4,0,0,satisfied
16559,Male,Loyal Customer,65,Business travel,Business,1974,5,5,5,5,3,3,5,5,5,5,5,3,5,4,0,0,satisfied
59887,Male,Loyal Customer,39,Business travel,Business,1023,2,2,2,2,3,5,4,5,5,5,5,5,5,5,4,0,satisfied
120885,Female,Loyal Customer,49,Business travel,Business,920,2,2,2,2,4,4,4,5,5,5,5,5,5,4,0,0,satisfied
75061,Male,Loyal Customer,53,Business travel,Business,2611,4,5,4,4,4,3,5,4,4,4,4,3,4,4,0,0,satisfied
25362,Male,Loyal Customer,25,Business travel,Business,1975,1,1,1,1,5,5,5,5,2,1,4,3,3,5,0,0,satisfied
19566,Female,Loyal Customer,22,Business travel,Eco,173,2,4,4,4,2,2,3,2,2,1,4,1,3,2,13,14,neutral or dissatisfied
2892,Male,Loyal Customer,45,Personal Travel,Eco,491,1,2,1,3,5,1,5,5,3,3,3,2,3,5,0,0,neutral or dissatisfied
30748,Male,disloyal Customer,24,Business travel,Eco,577,4,0,3,1,1,3,1,1,2,1,2,3,5,1,39,31,neutral or dissatisfied
9978,Female,Loyal Customer,,Personal Travel,Eco,515,4,4,4,3,4,4,4,4,5,3,4,3,5,4,15,0,neutral or dissatisfied
72884,Female,Loyal Customer,12,Business travel,Business,2108,5,5,5,5,4,4,4,4,5,5,5,5,5,4,0,0,satisfied
121742,Male,Loyal Customer,32,Personal Travel,Eco,1475,2,5,2,3,3,2,1,3,4,4,4,4,5,3,6,0,neutral or dissatisfied
52702,Male,Loyal Customer,34,Business travel,Business,2708,3,5,3,5,1,2,3,3,3,3,3,3,3,2,0,0,neutral or dissatisfied
128393,Female,Loyal Customer,30,Business travel,Business,2979,2,4,4,4,2,2,2,,4,1,4,1,4,2,0,0,neutral or dissatisfied
93939,Female,Loyal Customer,40,Business travel,Eco,107,3,3,3,3,3,4,3,3,4,4,4,2,4,3,58,43,neutral or dissatisfied
77809,Male,Loyal Customer,45,Personal Travel,Eco,689,1,5,1,5,2,1,2,2,3,2,5,5,4,2,0,1,neutral or dissatisfied
5336,Female,Loyal Customer,52,Business travel,Business,812,2,2,2,2,5,4,5,5,5,5,5,3,5,4,0,0,satisfied
2002,Male,Loyal Customer,59,Business travel,Business,3926,3,3,4,3,2,4,5,4,4,4,4,5,4,4,0,0,satisfied
15952,Male,Loyal Customer,16,Personal Travel,Eco,528,2,5,2,1,5,2,5,5,3,5,5,3,5,5,0,0,neutral or dissatisfied
68232,Female,Loyal Customer,40,Business travel,Business,2559,5,5,5,5,3,5,5,4,4,4,4,3,4,3,0,0,satisfied
32108,Male,disloyal Customer,20,Business travel,Eco,101,2,0,2,5,1,2,1,1,5,5,1,3,2,1,1,11,neutral or dissatisfied
45968,Female,Loyal Customer,27,Business travel,Business,1601,5,5,5,5,5,5,5,5,4,3,1,4,5,5,0,13,satisfied
107055,Male,disloyal Customer,25,Business travel,Eco,395,2,2,2,3,4,2,4,4,4,3,4,3,3,4,45,64,neutral or dissatisfied
88124,Female,Loyal Customer,50,Business travel,Business,3953,0,1,1,2,3,4,4,4,4,3,3,3,4,3,0,0,satisfied
65438,Female,Loyal Customer,40,Personal Travel,Eco Plus,2165,3,4,3,5,1,3,1,1,3,2,5,3,5,1,5,0,neutral or dissatisfied
90250,Male,Loyal Customer,9,Personal Travel,Eco,1121,3,5,3,3,1,3,1,1,3,4,4,5,4,1,0,0,neutral or dissatisfied
93892,Male,disloyal Customer,18,Business travel,Eco,590,1,4,1,3,1,1,1,1,3,1,3,4,4,1,40,43,neutral or dissatisfied
17959,Male,Loyal Customer,48,Business travel,Eco,500,3,2,2,2,3,3,3,3,4,5,2,5,2,3,0,0,satisfied
77601,Female,Loyal Customer,47,Business travel,Business,1561,5,5,5,5,3,4,5,4,4,4,4,4,4,4,0,0,satisfied
38955,Female,disloyal Customer,26,Business travel,Eco,1265,4,4,4,2,3,4,3,3,4,3,4,1,3,3,5,13,satisfied
79113,Female,Loyal Customer,60,Personal Travel,Eco,356,3,5,3,5,5,5,4,5,5,3,5,3,5,3,0,0,neutral or dissatisfied
33343,Female,Loyal Customer,42,Business travel,Eco,2399,5,2,2,2,4,4,3,5,5,5,5,3,5,1,2,0,satisfied
98571,Female,Loyal Customer,45,Business travel,Business,3560,1,1,1,1,5,5,4,5,5,5,5,5,5,4,6,0,satisfied
4958,Male,disloyal Customer,26,Business travel,Business,931,0,0,0,3,2,0,2,2,3,2,4,4,5,2,0,0,satisfied
118118,Male,Loyal Customer,65,Personal Travel,Eco,1300,1,4,1,1,4,1,4,4,3,4,4,5,5,4,0,0,neutral or dissatisfied
30558,Male,disloyal Customer,26,Business travel,Business,628,2,2,2,4,5,2,5,5,5,2,4,4,5,5,0,0,neutral or dissatisfied
96192,Male,Loyal Customer,51,Business travel,Business,2097,4,4,4,4,3,4,4,5,5,5,5,4,5,4,0,4,satisfied
124386,Female,Loyal Customer,63,Personal Travel,Eco,575,4,4,4,1,2,4,4,3,3,4,2,5,3,4,0,1,neutral or dissatisfied
15000,Female,Loyal Customer,67,Business travel,Business,3230,2,2,2,2,2,4,3,5,5,5,5,4,5,4,0,0,satisfied
5738,Male,Loyal Customer,48,Personal Travel,Eco Plus,234,3,4,3,1,5,3,3,5,3,3,4,5,5,5,0,0,neutral or dissatisfied
111630,Male,Loyal Customer,59,Personal Travel,Eco Plus,1014,2,4,2,4,1,2,1,1,4,4,1,3,2,1,46,48,neutral or dissatisfied
28745,Male,Loyal Customer,30,Business travel,Eco,1024,5,3,3,3,5,5,5,5,4,5,5,4,4,5,0,0,satisfied
121454,Male,disloyal Customer,36,Business travel,Eco,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,neutral or dissatisfied
44868,Male,Loyal Customer,48,Business travel,Eco,315,2,1,1,1,2,2,2,2,5,1,2,4,4,2,0,42,satisfied
113075,Male,Loyal Customer,28,Business travel,Business,1941,2,1,1,1,2,1,2,2,4,4,4,4,4,2,9,12,neutral or dissatisfied
71619,Female,disloyal Customer,22,Business travel,Eco,1182,1,1,1,4,2,1,2,2,4,3,4,3,4,2,5,6,neutral or dissatisfied
101418,Female,disloyal Customer,22,Business travel,Eco Plus,486,1,1,0,3,4,0,3,4,4,5,4,1,4,4,6,0,neutral or dissatisfied
98392,Male,Loyal Customer,62,Personal Travel,Business,462,3,4,4,3,5,4,5,4,4,4,4,1,4,4,0,0,neutral or dissatisfied
88023,Male,disloyal Customer,27,Business travel,Business,404,0,0,0,2,5,0,3,5,4,2,4,4,5,5,62,53,satisfied
50519,Female,Loyal Customer,34,Personal Travel,Eco,78,2,5,2,2,4,2,4,4,4,4,5,4,4,4,127,125,neutral or dissatisfied
18804,Female,Loyal Customer,24,Business travel,Eco,448,5,5,5,5,5,5,5,5,2,1,2,5,2,5,6,0,satisfied
102558,Female,Loyal Customer,8,Personal Travel,Eco,236,1,4,1,4,3,1,3,3,5,5,5,5,5,3,9,14,neutral or dissatisfied
10319,Male,Loyal Customer,46,Business travel,Business,140,0,4,0,1,4,4,5,1,1,1,1,3,1,5,19,11,satisfied
33350,Female,Loyal Customer,16,Business travel,Business,2614,5,5,5,5,4,4,4,4,5,2,4,2,3,4,0,0,satisfied
6888,Male,disloyal Customer,40,Business travel,Business,287,3,3,3,4,1,3,1,1,5,4,5,5,5,1,2,0,neutral or dissatisfied
40122,Male,Loyal Customer,61,Personal Travel,Eco,200,1,5,0,2,4,0,3,4,3,5,5,4,5,4,8,13,neutral or dissatisfied
85575,Female,Loyal Customer,30,Business travel,Business,2927,2,3,3,3,2,2,2,2,4,5,1,4,2,2,2,8,neutral or dissatisfied
105154,Male,Loyal Customer,23,Business travel,Business,2323,5,5,5,5,4,4,4,4,5,2,2,3,2,4,0,0,satisfied
66950,Male,Loyal Customer,46,Business travel,Business,985,1,1,1,1,5,4,5,5,5,5,5,5,5,3,0,0,satisfied
82657,Female,disloyal Customer,34,Business travel,Eco,120,2,1,2,4,2,5,3,3,2,4,3,3,1,3,141,141,neutral or dissatisfied
14078,Female,Loyal Customer,42,Business travel,Eco,425,3,5,5,5,2,2,3,4,4,3,4,2,4,2,3,0,neutral or dissatisfied
117313,Female,Loyal Customer,22,Personal Travel,Eco Plus,646,3,1,3,3,5,3,5,5,4,2,4,2,4,5,11,12,neutral or dissatisfied
11890,Female,disloyal Customer,24,Business travel,Eco,744,4,4,4,1,2,4,5,2,4,4,4,5,4,2,43,37,satisfied
86568,Female,Loyal Customer,61,Business travel,Eco Plus,762,2,5,5,5,1,3,3,2,2,2,2,4,2,4,0,23,neutral or dissatisfied
4534,Female,Loyal Customer,8,Personal Travel,Eco,677,3,4,3,1,3,3,3,3,2,1,1,1,5,3,0,0,neutral or dissatisfied
108721,Male,Loyal Customer,29,Business travel,Business,2778,2,2,2,2,4,4,4,4,4,4,4,4,4,4,114,95,satisfied
42042,Male,disloyal Customer,17,Business travel,Eco,106,2,2,2,4,1,2,1,1,2,2,3,2,3,1,109,117,neutral or dissatisfied
124225,Female,Loyal Customer,57,Business travel,Business,1916,3,3,3,3,4,4,3,3,3,3,3,4,3,2,0,0,neutral or dissatisfied
100330,Male,Loyal Customer,28,Business travel,Business,3486,4,4,4,4,4,3,4,4,4,3,3,4,4,4,22,12,neutral or dissatisfied
79842,Male,disloyal Customer,36,Business travel,Business,950,3,3,3,5,5,3,5,5,3,5,5,5,4,,0,10,neutral or dissatisfied
112885,Female,Loyal Customer,21,Business travel,Business,715,3,3,3,3,3,3,3,3,1,3,3,2,3,3,24,18,neutral or dissatisfied
101911,Female,Loyal Customer,56,Personal Travel,Eco,2039,1,2,1,4,4,4,4,1,1,1,1,4,1,3,7,3,neutral or dissatisfied
109244,Male,Loyal Customer,38,Personal Travel,Eco,391,4,5,4,3,5,4,5,5,4,2,5,5,4,5,0,0,neutral or dissatisfied
115097,Female,disloyal Customer,21,Business travel,Business,296,4,0,4,4,4,4,5,4,4,3,5,4,4,4,19,12,satisfied
25203,Female,Loyal Customer,54,Business travel,Eco,842,4,3,3,3,4,1,3,4,4,4,4,1,4,2,0,7,satisfied
44993,Male,Loyal Customer,60,Business travel,Business,1851,3,3,3,3,2,5,3,5,5,5,5,2,5,2,0,0,satisfied
3711,Male,Loyal Customer,9,Personal Travel,Eco,427,1,0,1,1,4,1,4,4,4,5,1,5,1,4,0,,neutral or dissatisfied
70085,Male,Loyal Customer,54,Business travel,Business,2931,3,3,3,3,5,4,4,4,4,4,4,4,4,4,0,7,satisfied
66181,Male,Loyal Customer,54,Business travel,Business,3954,4,4,5,4,4,4,4,5,5,5,5,5,5,3,11,15,satisfied
20855,Female,Loyal Customer,14,Personal Travel,Eco,357,4,4,4,4,1,4,1,1,5,2,4,5,4,1,0,0,neutral or dissatisfied
42506,Female,Loyal Customer,68,Personal Travel,Eco,541,4,3,4,3,4,4,3,5,5,4,5,4,5,2,4,0,neutral or dissatisfied
74236,Female,Loyal Customer,38,Personal Travel,Eco,888,3,3,3,3,1,3,1,1,4,,2,1,5,1,4,6,neutral or dissatisfied
104941,Female,Loyal Customer,28,Business travel,Business,1541,1,1,1,1,4,4,4,4,3,3,4,3,5,4,9,3,satisfied
701,Male,disloyal Customer,18,Business travel,Eco,270,2,4,2,3,1,2,1,1,3,4,5,4,4,1,0,0,neutral or dissatisfied
26916,Female,Loyal Customer,35,Business travel,Business,1770,2,2,2,2,3,3,4,5,5,5,5,1,5,4,0,0,satisfied
82579,Female,Loyal Customer,31,Business travel,Business,528,2,5,5,5,2,2,2,2,3,2,3,1,3,2,0,0,neutral or dissatisfied
44046,Female,Loyal Customer,51,Personal Travel,Eco,296,4,5,4,1,4,4,4,2,2,4,2,3,2,3,0,0,neutral or dissatisfied
12448,Female,Loyal Customer,37,Personal Travel,Eco,190,4,4,4,4,4,1,1,4,3,4,4,1,5,1,258,247,neutral or dissatisfied
15189,Female,Loyal Customer,46,Business travel,Business,3185,2,5,5,5,5,3,3,2,2,2,2,1,2,1,0,0,neutral or dissatisfied
95059,Female,Loyal Customer,25,Personal Travel,Eco,323,1,2,0,2,2,0,2,2,1,3,3,2,3,2,76,70,neutral or dissatisfied
115327,Male,disloyal Customer,27,Business travel,Business,296,4,4,4,1,4,4,4,4,5,4,4,5,4,4,17,30,satisfied
97827,Female,Loyal Customer,25,Business travel,Business,3425,3,4,4,4,3,3,3,3,4,2,4,3,4,3,66,76,neutral or dissatisfied
10545,Female,disloyal Customer,18,Business travel,Business,667,5,5,5,1,1,5,1,1,4,4,5,4,4,1,10,6,satisfied
109390,Female,Loyal Customer,10,Personal Travel,Eco,1189,2,4,2,3,5,2,5,5,3,3,3,4,5,5,14,5,neutral or dissatisfied
15366,Female,Loyal Customer,38,Business travel,Eco,433,2,3,3,3,2,3,2,2,1,4,5,3,1,2,0,0,satisfied
111852,Female,disloyal Customer,26,Business travel,Eco,628,3,3,3,4,2,3,2,2,2,2,3,1,3,2,5,19,neutral or dissatisfied
26217,Female,Loyal Customer,24,Personal Travel,Eco,270,4,0,5,1,2,5,2,2,5,5,4,4,4,2,44,41,neutral or dissatisfied
101124,Female,Loyal Customer,41,Business travel,Business,1069,2,2,2,2,2,4,4,5,5,5,5,3,5,3,6,0,satisfied
126366,Male,Loyal Customer,16,Personal Travel,Eco,631,2,5,2,4,3,2,2,3,4,2,5,5,4,3,0,3,neutral or dissatisfied
50454,Female,disloyal Customer,18,Business travel,Eco,326,1,0,0,3,3,0,2,3,3,3,5,1,2,3,0,0,neutral or dissatisfied
127521,Male,disloyal Customer,17,Business travel,Business,1009,5,4,5,3,1,5,1,1,4,4,5,5,4,1,41,37,satisfied
60554,Female,Loyal Customer,60,Business travel,Eco Plus,641,3,5,5,5,3,3,3,3,2,4,3,3,4,3,132,121,neutral or dissatisfied
87138,Male,Loyal Customer,28,Business travel,Eco Plus,594,2,4,4,4,2,2,2,2,4,1,4,4,4,2,5,87,neutral or dissatisfied
76261,Female,Loyal Customer,43,Personal Travel,Eco Plus,1399,2,5,2,3,3,5,5,1,1,2,1,5,1,5,0,0,neutral or dissatisfied
60590,Male,Loyal Customer,49,Personal Travel,Eco,1290,3,4,3,2,4,3,4,4,3,5,4,4,5,4,0,0,neutral or dissatisfied
1799,Male,Loyal Customer,59,Business travel,Business,2111,5,5,5,5,3,4,4,4,4,5,4,4,4,,0,0,satisfied
44100,Female,Loyal Customer,35,Business travel,Eco,408,3,4,4,4,3,3,3,3,1,5,3,2,2,3,47,52,neutral or dissatisfied
51815,Female,disloyal Customer,25,Business travel,Eco Plus,598,3,0,3,3,3,3,3,3,5,5,1,2,3,3,8,7,neutral or dissatisfied
59879,Male,Loyal Customer,52,Business travel,Business,1985,5,5,4,5,3,5,4,4,4,4,4,5,4,3,1,0,satisfied
113319,Male,Loyal Customer,49,Business travel,Business,3002,5,5,5,5,3,4,4,4,4,4,5,3,4,5,2,0,satisfied
